1000,random,1,254596,253603,510197,15
1000,random,2,248888,247893,498779,1
1000,random,3,249704,248710,500412,5
100,random,1,2781,2684,5663,1
100,random,2,2483,2387,5068,0
100,random,3,2663,2568,5429,1
1000,random,1,243815,242822,488635,15
1000,random,2,258826,257838,518662,1
1000,random,3,252044,251052,505094,5
10000,random,1,24943439,24933444,49896881,119
10000,random,2,24981584,24971597,49973179,70
10000,random,3,24835637,24825643,49681278,64
100000,random,1,2499153062,2499053078,4998406138,6919
100,sorted,1,99,0,297,0
100,sorted,2,99,0,297,0
100,sorted,3,99,0,297,0
1000,sorted,1,999,0,2997,0
1000,sorted,2,999,0,2997,0
1000,sorted,3,999,0,2997,0
10000,sorted,1,9999,0,29997,8
10000,sorted,2,9999,0,29997,4
10000,sorted,3,9999,0,29997,11
100000,sorted,1,99999,0,299997,58
100,reverse,1,4950,4950,10098,2
100,reverse,2,4950,4950,10098,0
100,reverse,3,4950,4950,10098,0
1000,reverse,1,499500,499500,1000998,24
1000,reverse,2,499500,499500,1000998,7
1000,reverse,3,499500,499500,1000998,2
10000,reverse,1,49995000,49995000,100009998,164
10000,reverse,2,49995000,49995000,100009998,147
10000,reverse,3,49995000,49995000,100009998,156
100000,reverse,1,4999950000,4999950000,10000099998,15147
100,nearly,1,124,25,347,0
100,nearly,2,132,33,363,0
100,nearly,3,160,61,419,0
1000,nearly,1,9831,8832,20661,5
1000,nearly,2,6759,5760,14517,1
1000,nearly,3,6451,5452,13901,1
10000,nearly,1,648523,638524,1307045,60
10000,nearly,2,640077,630078,1290153,14
10000,nearly,3,689579,679580,1389157,13
100000,nearly,1,68155311,68055312,136410621,283
